,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
DLM,Darryl's Meals,MAR,0,0,CCFN,0,0,0,0,0,0,0,37.5,30,37.5,78,0,
SJL,St. Joe County Public Library,SJ,0,0,Backpack,0,0,0,0,0,0,0,225,180,225,78,0,
SJHD,St. Joe: Health Department,SJ,0,0,CCFN,0,144,0,33,0,0,96,0,0,273,78,0,
VFP,Village Pantry,SJ,0,0,CCFN,12,48,0,0,0,20,165,0,0,245,78,0,"13060 Jefferson Blvd, Mishawaka, IN 46545"
BOHSJ,Brick of Hope Ministry,SJ,0,0,CCFN,106.5,144,0,96,16,0,813,0,0,1175.5,78,0,
KKH,Karl King Riverbend Tower,SJ,0,0,CCFN,303.7,248,41.3,7,27,461,512.7,0,0,1600.7,78,0,
MCNC,Marshall County Neighborhood Center,MAR,0,0,CCFN,0,144,0,0,0,0,397,0,0,541,78,0,
MCNC,Marshall County Neighborhood Center,MAR,0,0,CCFN,0,0,0,0,280,0,0,0,0,280,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,0,0,15,35,0,0,117.75,30,24,197.75,78,0,"911 California Ave, South Bend, IN 46616"
OLOTR,Our Lady of the Road,SJ,0,0,CCFN,66,24,70,67.5,0,149,678.2,75,60,1129.7,78,0,
GNJMBC,Greater New Jerusalem Missionary Baptist Church,SJ,0,0,CCFN,303,558,49,274.5,12,454.5,1310.2,0,0,2961.2,78,0,
KBI,Kingdom Business International,SJ,0,0,CCFN,0,72,0,0,32,0,0,0,0,104,78,0,"907 Sprucewood Ln, South Bend, IN 46637"
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,71,0,0,0,0,0,0,0,0,71,78,0,
SPBMBC,St Paul Bethel Baptist Church,SJ,0,0,CCFN,172,0,0,0,0,72,341,0,0,585,78,0,
BCP,Broadway Christian Parish Church,SJ,0,0,CCFN,0,0,0,0,168,0,0,0,0,168,78,0,
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,0,0,0,14.5,0,0,225,0,0,239.5,78,0,
CE,Culver Elementary School,MAR,0,0,Backpack,0,0,0,0,0,0,0,187.5,150,187.5,78,0,
CFP,Culver Food Pantry,MAR,0,0,CCFN,159,0,0,0,151,0,153,150,120,613,78,0,
CHS,Culver Community Middle/High School,MAR,0,0,Backpack,0,0,0,0,0,0,0,105,84,105,78,0,
DC,David's Courage,SJ,0,0,CCFN,0,0,0,0,14,0,0,0,0,14,78,0,
PACM,Plymouth Ancilla College Moontree,MAR,0,0,Backpack,0,0,0,0,0,0,0,1500,1200,1500,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,177,352,167.5,55,68,402,1129,300,240,2650.5,78,0,
LTC,Life Treatment Center (wants to remain ANON),SJ,0,0,CCFN,0,0,0,0,0,0,49.5,0,0,49.5,78,0,
MOFHM,Monastery of the Holy Martyrs,SJ,0,0,CCFN,0,0,0,0,168,0,0,0,0,168,78,0,
NCCFP,New Carlisle Community -Food Pantry,SJ,0,0,CCFN,0,0,0,0,84,0,0,0,0,84,78,0,
AFFM,Abundant Faith Family Ministries,SJ,0,0,CCFN,48.5,0,0,0,18,68,266.7,0,0,401.2,78,0,
AIDS,Aids Ministries,SJ,0,0,CCFN,0,0,0,0,70,0,0,0,0,70,78,0,
BHSCI,Becon Health System Community Impact,SJ,0,0,CCFN,0,0,0,0,0,0,0,112.5,90,112.5,78,0,
CBCC,Charles Black Community Center,SJ,0,0,CCFN,135,0,0,0,45,30,18,0,0,228,78,0,
